IlmnID,CHR,Relation_to_UCSC_CpG_Island,MAPINFO,Probe_SNPs_10,Probe_SNPs
cg00035864,Y,"",8553009,"",""
cg00050873,Y,N_Shore,9363356,"",""
cg00061679,Y,"",25314171,"",""
cg00063477,Y,S_Shelf,22741795,rs13447379,rs9341313
cg00121626,Y,N_Shore,21664296,"",""
cg00212031,Y,Island,21239348,"",""
cg00213748,Y,S_Shore,8148233,"",""
cg00214611,Y,Island,15815688,"",""
cg00223952,Y,N_Shore,4868996,"",""
cg00243321,Y,Island,6133740,"",""
cg00271873,Y,S_Shore,14649908,"",""
cg00272582,Y,Island,2802965,"",""
cg00308367,Y,"",21868532,"",""
cg00311963,Y,S_Shore,9747781,"",""
cg00335297,Y,N_Shore,24454527,"",""
cg00455876,Y,Island,9385539,"",""
cg00479827,Y,"",21036986,"",""
cg00543493,Y,N_Shore,9342875,"",""
cg00576139,Y,"",6312218,"",""
cg00599377,Y,Island,9745678,"",""
cg00639218,Y,N_Shelf,14096487,"",""
cg00676506,Y,"",22917913,"",""
cg00679624,Y,Island,17568445,"",""
cg00762184,Y,"",14774526,"",""
cg00789540,Y,Island,9706621,"",""
cg00876332,Y,Island,21664717,"",""
cg00903245,Y,N_Shore,9321293,"",""
cg00975375,Y,Island,6173766,"",""
cg01053349,Y,"",3446859,"",rs2924403
cg01061520,Y,Island,9478342,"",""
cg01073572,Y,"",16924422,"",""
cg01086462,Y,S_Shore,7429349,"",""
cg01141334,Y,Island,13477785,"",""
cg01209756,Y,Island,19671414,"",""
cg01215343,Y,Island,10034551,"",""
cg01311227,Y,"",2709627,"",""
cg01375382,Y,"",2709598,"",""
cg01426558,Y,N_Shore,15015682,"",""
cg01463110,Y,N_Shore,14648161,"",""
cg01498999,Y,N_Shelf,16939383,"",""
cg01523029,Y,Island,9234365,"",""
cg01644972,Y,N_Shore,22737556,"",""
cg01707559,Y,Island,6778695,"",""
cg01757887,Y,"",25114810,"",""
cg01828798,Y,"",8571457,"",""
cg01882666,Y,S_Shelf,17571429,"",rs13305850
cg01900066,Y,"",22754881,"",""
